File    - I:\INLS\PLATFORMS\CF\LITTLECREEK-26FEB2016 RUN 1\PITCH\995.PLT                                                                      
Analysis- Motion analysis time history -                                                                                                      
Section - Structure number 2                                                                                                                  
Variable- Fender line # 1 (1-6)                                                                                                               
Freedom - - total force                                                                                                                       
Time(seconds)                          ,Newtons                                 
       22.68000                        ,       181133.2    
       22.72000                        ,       236405.6    
       22.76000                        ,       166533.8    
       22.80000                        ,       17717.28    
       22.84000                        ,       0.000000    
       22.88000                        ,       47879.57    
       22.92000                        ,       113412.9    
       22.96000                        ,       117334.7    
       23.00000                        ,       81371.16    
       23.04000                        ,       102710.1    
       23.08000                        ,       136515.2    
       23.12000                        ,       118872.4    
       23.16000                        ,       62248.59    
       23.20000                        ,       45521.98    
       23.24000                        ,       53907.17    
       23.28000                        ,       44857.58    
       23.32000                        ,       37944.92    
       23.36000                        ,       59347.57    
       23.40000                        ,       86716.42    
       23.44000                        ,       86479.24    
       23.48000                        ,       74855.02    
       23.52000                        ,       65062.93    
       23.56000                        ,       50180.63    
       23.60000                        ,       25695.97    
       23.64000                        ,       9929.425    
       23.68000                        ,       6751.858    
       23.72000                        ,       9306.769    
       23.76000                        ,       22622.71    
       23.80000                        ,       32591.84    
       23.84000                        ,       46235.06    
       23.88000                        ,       43842.41    
       23.92000                        ,       35536.29    
       23.96000                        ,       23812.62    
       24.00000                        ,       21345.75    
       24.04000                        ,       251155.5    
       24.08000                        ,       345065.4    
       24.12000                        ,       388577.5    
       24.16000                        ,       390833.9    
       24.20000                        ,       365360.7    
       24.24000                        ,       295027.6    
       24.28000                        ,       160511.9    
       24.32000                        ,       34779.41    
       24.36000                        ,       64099.93    
       24.40000                        ,       92687.23    
       24.44000                        ,       238398.7    
       24.48000                        ,       367982.1    
       24.52000                        ,       406358.4    
       24.56000                        ,       388287.8    
       24.60000                        ,       321085.3    
       24.64000                        ,       300632.8    
       24.68000                        ,       372912.3    
       24.72000                        ,       442250.8    
       24.76000                        ,       462763.8    
       24.80000                        ,       522621.8    
       24.84000                        ,       544480.7    
       24.88000                        ,       554355.9    
       24.92000                        ,       547664.4    
       24.96000                        ,       520715.0    
       25.00000                        ,       479817.0    
       25.04000                        ,       442791.9    
       25.08000                        ,       438336.2    
       25.12000                        ,       464829.9    
       25.16000                        ,       469430.0    
       25.20000                        ,       437126.2    
       25.24000                        ,       421675.2    
       25.28000                        ,       365515.4    
       25.32000                        ,       283513.1    
       25.36000                        ,       175761.0    
       25.40000                        ,       105911.9    
       25.44000                        ,       78282.43    
       25.48000                        ,       19934.11    
       25.52000                        ,       0.000000    
       25.56000                        ,       0.000000    
       25.60000                        ,       0.000000    
       25.64000                        ,       48836.48    
       25.68000                        ,       83447.20    
       25.72000                        ,       60339.50    
       25.76000                        ,       8260.092    
       25.80000                        ,       0.000000    
       25.84000                        ,       0.000000    
       25.88000                        ,       0.000000    
       25.92000                        ,       0.000000    
       25.96000                        ,       7445.740    
       26.00000                        ,       101733.4    
       26.04000                        ,       236701.3    
       26.08000                        ,       308683.9    
       26.12000                        ,       288329.1    
       26.16000                        ,       119100.7    
       26.20000                        ,       0.000000    
       26.24000                        ,       0.000000    
       26.28000                        ,       0.000000    
       26.32000                        ,       0.000000    
       26.36000                        ,       0.000000    
       26.40000                        ,       0.000000    
       26.44000                        ,       0.000000    
       26.48000                        ,       0.000000    
       26.52000                        ,       0.000000    
       26.56000                        ,       0.000000    
       26.60000                        ,       0.000000    
       26.64000                        ,       0.000000    
       26.68000                        ,       0.000000    
       26.72000                        ,       0.000000    
       26.76000                        ,       0.000000    
       26.80000                        ,       0.000000    
       26.84000                        ,       0.000000    
       26.88000                        ,       0.000000    
       26.92000                        ,       0.000000    
       26.96000                        ,       0.000000    
       27.00000                        ,       0.000000    
       27.04000                        ,       0.000000    
       27.08000                        ,       114931.1    
       27.12000                        ,       190709.2    
       27.16000                        ,       160566.9    
       27.20000                        ,       21574.51    
       27.24000                        ,       12300.93    
       27.28000                        ,       123121.6    
       27.32000                        ,       161693.2    
       27.36000                        ,       96928.17    
       27.40000                        ,       0.000000    
       27.44000                        ,       0.000000    
       27.48000                        ,       0.000000    
       27.52000                        ,       0.000000    
       27.56000                        ,       0.000000    
       27.60000                        ,       74121.73    
       27.64000                        ,       140267.7    
       27.68000                        ,       230879.7    
       27.72000                        ,       294651.3    
       27.76000                        ,       282507.2    
       27.80000                        ,       202152.1    
       27.84000                        ,       119837.9    
       27.88000                        ,       215708.0    
       27.92000                        ,       327394.2    
       27.96000                        ,       373843.4    
       28.00000                        ,       350978.7    
       28.04000                        ,       441807.8    
       28.08000                        ,       492046.0    
       28.12000                        ,       509718.6    
       28.16000                        ,       500217.8    
       28.20000                        ,       477910.5    
       28.24000                        ,       467698.4    
       28.28000                        ,       476553.6    
       28.32000                        ,       507529.0    
       28.36000                        ,       544256.6    
       28.40000                        ,       568073.9    
       28.44000                        ,       575095.8    
       28.48000                        ,       563352.1    
       28.52000                        ,       538158.1    
       28.56000                        ,       521291.4    
       28.60000                        ,       519363.0    
       28.64000                        ,       527622.6    
       28.68000                        ,       537107.5    
       28.72000                        ,       532160.2    
       28.76000                        ,       508429.7    
       28.80000                        ,       469637.6    
       28.84000                        ,       437316.4    
       28.88000                        ,       417656.9    
       28.92000                        ,       405178.0    
       28.96000                        ,       391549.4    
       29.00000                        ,       366496.6    
       29.04000                        ,       310385.3    
       29.08000                        ,       218886.6    
       29.12000                        ,       128223.4    
       29.16000                        ,       86801.53    
       29.20000                        ,       64619.62    
       29.24000                        ,       3671.260    
       29.28000                        ,       0.000000    
       29.32000                        ,       0.000000    
       29.36000                        ,       0.000000    
       29.40000                        ,       0.000000    
       29.44000                        ,       0.000000    
